Season,Episode,Part,Length,Date,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,Doc9,Doc10,Doc11,Doc12,Doc13,Title,Title (temp),,
2,57,4,25,1965-02-06,y,0,0,0,0,0,0,0,0,0,0,0,0,The Romans,0,,
2,58,1,25,1965-02-13,y,0,0,0,0,0,0,0,0,0,0,0,0,The Web Planet,The Web Planet,,
2,59,2,25,1965-02-20,y,0,0,0,0,0,0,0,0,0,0,0,0,The Web Planet,0,,
2,60,3,25,1965-02-27,y,0,0,0,0,0,0,0,0,0,0,0,0,The Web Planet,0,,
2,61,4,25,1965-03-06,y,0,0,0,0,0,0,0,0,0,0,0,0,The Web Planet,0,,
2,62,5,25,1965-03-13,y,0,0,0,0,0,0,0,0,0,0,0,0,The Web Planet,0,,
2,63,6,25,1965-03-20,y,0,0,0,0,0,0,0,0,0,0,0,0,The Web Planet,0,,
2,64,1,25,1965-03-27,y,0,0,0,0,0,0,0,0,0,0,0,0,The Crusade,The Crusade,,
2,65,2,25,1965-04-03,y,0,0,0,0,0,0,0,0,0,0,0,0,The Crusade,0,,
2,66,3,25,1965-04-10,y,0,0,0,0,0,0,0,0,0,0,0,0,The Crusade,0,,
2,67,4,25,1965-04-17,y,0,0,0,0,0,0,0,0,0,0,0,0,The Crusade,0,,
2,68,1,25,1965-04-24,y,0,0,0,0,0,0,0,0,0,0,0,0,The Space Museum,The Space Museum,,
2,69,2,25,1965-05-01,y,0,0,0,0,0,0,0,0,0,0,0,0,The Space Museum,0,,
2,70,3,25,1965-05-08,y,0,0,0,0,0,0,0,0,0,0,0,0,The Space Museum,0,,
2,71,4,25,1965-05-15,y,0,0,0,0,0,0,0,0,0,0,0,0,The Space Museum,0,,
2,72,1,25,1965-05-22,y,0,0,0,0,0,0,0,0,0,0,0,0,The Chase,The Chase,,
2,73,2,25,1965-05-29,y,0,0,0,0,0,0,0,0,0,0,0,0,The Chase,0,,
2,74,3,25,1965-06-05,y,0,0,0,0,0,0,0,0,0,0,0,0,The Chase,0,,
2,75,4,25,1965-06-12,y,0,0,0,0,0,0,0,0,0,0,0,0,The Chase,0,,
2,76,5,25,1965-06-19,y,0,0,0,0,0,0,0,0,0,0,0,0,The Chase,0,,
2,77,6,25,1965-06-26,y,0,0,0,0,0,0,0,0,0,0,0,0,The Chase,0,,
2,78,1,25,1965-07-03,y,0,0,0,0,0,0,0,0,0,0,0,0,The Time Meddler,The Time Meddler,,
